Match ID,Team 1,Team 2,Event,Date,Team 1 Score,Team 2 Score,Winner,Match VOD
145,Los Angeles Guerrillas,New York Subliners,Stage 4 Week 1,5/29/2021,1,3,New York Subliners,https://youtu.be/sCjEedqBHl0?t=1
146,London Royal Ravens,Florida Mutineers,Stage 4 Week 1,5/30/2021,0,3,Florida Mutineers,https://youtu.be/3m03OWmK8EQ?t=1
147,Dallas Empire,Toronto Ultra,Stage 4 Week 1,5/30/2021,0,3,Toronto Ultra,https://youtu.be/zt_2J4AA484?t=1
148,OpTic Chicago,Atlanta FaZe,Stage 4 Week 1,5/30/2021,0,3,Atlanta FaZe,https://youtu.be/KnGpwXS2Sto?t=1
149,Seattle Surge,Atlanta FaZe,Stage 4 Week 2,6/3/2021,0,3,Atlanta FaZe,https://youtu.be/vX0DQ4w4-Ok?t=1
150,Los Angeles Guerrillas,Dallas Empire,Stage 4 Week 2,6/3/2021,0,3,Dallas Empire,https://youtu.be/Ivjyc2fDPEg?t=1
151,Paris Legion,Los Angeles Thieves,Stage 4 Week 2,6/4/2021,3,1,Paris Legion,https://youtu.be/d9tLDE1MyYk?t=1
152,Florida Mutineers,New York Subliners,Stage 4 Week 2,6/4/2021,2,3,New York Subliners,https://youtu.be/S97HNbZOb8U?t=1
153,London Royal Ravens,Toronto Ultra,Stage 4 Week 2,6/5/2021,0,3,Toronto Ultra,https://youtu.be/wizE_2Z-fao?t=1
154,Paris Legion,OpTic Chicago,Stage 4 Week 2,6/5/2021,1,3,OpTic Chicago,https://youtu.be/jmDoWKvyKpI?t=1
155,Seattle Surge,Minnesota ROKKR,Stage 4 Week 2,6/5/2021,1,3,Minnesota ROKKR,https://youtu.be/62C23ntEHzI?t=1
156,Los Angeles Guerrillas,Florida Mutineers,Stage 4 Week 2,6/6/2021,1,3,Florida Mutineers,https://youtu.be/SdfwlXNjTk4?t=1
157,Los Angeles Thieves,Atlanta FaZe,Stage 4 Week 2,6/6/2021,0,3,Atlanta FaZe,https://youtu.be/psRowu7BY_s?t=1
158,Dallas Empire,New York Subliners,Stage 4 Week 2,6/6/2021,2,3,New York Subliners,https://youtu.be/s_MSXuAgVgw?t=1
159,Los Angeles Guerrillas,Toronto Ultra,Stage 4 Week 3,6/10/2021,0,3,Toronto Ultra,https://youtu.be/EVCFgsVJ2As?t=1
160,Seattle Surge,OpTic Chicago,Stage 4 Week 3,6/10/2021,3,2,Seattle Surge,https://youtu.be/DHxX7Ek95UI?t=1
161,London Royal Ravens,New York Subliners,Stage 4 Week 3,6/11/2021,0,3,New York Subliners,https://youtu.be/t-V9ZpLu3r8?t=1
162,Minnesota ROKKR,Los Angeles Thieves,Stage 4 Week 3,6/11/2021,3,2,Minnesota ROKKR,https://youtu.be/RAIjqCLIcP8?t=1
163,London Royal Ravens,Los Angeles Guerrillas,Stage 4 Week 3,6/12/2021,3,1,London Royal Ravens,https://youtu.be/oUK6VJrV-_Q?t=1
164,Minnesota ROKKR,Atlanta FaZe,Stage 4 Week 3,6/12/2021,1,3,Atlanta FaZe,https://youtu.be/qBrbmWlheNc?t=1
165,Florida Mutineers,Dallas Empire,Stage 4 Week 3,6/12/2021,2,3,Dallas Empire,https://youtu.be/7lNdxrQipJQ?t=1
166,Seattle Surge,Paris Legion,Stage 4 Week 3,6/13/2021,1,3,Paris Legion,https://youtu.be/_5c5QaSkVk0?t=1
167,Toronto Ultra,New York Subliners,Stage 4 Week 3,6/13/2021,3,0,Toronto Ultra,https://youtu.be/-0IIkgjK26g?t=1
168,Los Angeles Thieves,OpTic Chicago,Stage 4 Week 3,6/13/2021,1,3,OpTic Chicago,https://youtu.be/dVFFrgkveW4?t=1
169,Seattle Surge,London Royal Ravens,Major 4,6/17/2021,3,1,Seattle Surge,https://youtu.be/jwb7EZ2OSww?t=1
170,Los Angeles Guerrillas,Los Angeles Thieves,Major 4,6/17/2021,3,2,Los Angeles Guerrillas,https://youtu.be/QC7gRo-K0Ug?t=1
171,Dallas Empire,OpTic Chicago,Major 4,6/17/2021,3,0,Dallas Empire,https://youtu.be/h6U8ojFUmok?t=1
172,Minnesota ROKKR,New York Subliners,Major 4,6/17/2021,3,0,Minnesota ROKKR,https://youtu.be/wKOtBwmiZYs?t=1
173,Seattle Surge,Paris Legion,Major 4,6/18/2021,3,0,Seattle Surge,https://youtu.be/MuWhZ931hG8?t=1
174,Los Angeles Guerrillas,Florida Mutineers,Major 4,6/18/2021,0,3,Florida Mutineers,https://youtu.be/7cHSn8lfGYk?t=1
175,Dallas Empire,Toronto Ultra,Major 4,6/18/2021,2,3,Toronto Ultra,https://youtu.be/HIT4cV4tf4k?t=1
176,Minnesota ROKKR,Atlanta FaZe,Major 4,6/18/2021,0,3,Atlanta FaZe,https://youtu.be/xPoyTvONQaY?t=1
177,Florida Mutineers,New York Subliners,Major 4,6/19/2021,2,3,New York Subliners
178,Seattle Surge,OpTic Chicago,Major 4,6/19/2021,2,3,OpTic Chicago
179,New York Subliners,Dallas Empire,Major 4,6/19/2021,1,3,Dallas Empire
180,OpTic Chicago,Minnesota ROKKR,Major 4,6/19/2021,3,1,OpTic Chicago
181,Toronto Ultra,Atlanta FaZe,Major 4,6/19/2021,1,3,Atlanta FaZe
182,OpTic Chicago,Dallas Empire,Major 4,6/20/2021,1,3,Dallas Empire
