Match ID,Map ID,Event,Team,Opponent,Mode,Map,Map Number,Player,Kills,Deaths,K/D,Plus/Minus,Map Result
1962,9,Launch Weekend,Florida Mutineers,Seattle Surge,Search and Destroy,Rammaza,5,Skyz,5,3,1.67,2,Win
1962,9,Launch Weekend,Florida Mutineers,Seattle Surge,Search and Destroy,Rammaza,5,Frosty,2,6,0.33,-4,Win
1962,9,Launch Weekend,Florida Mutineers,Seattle Surge,Search and Destroy,Rammaza,5,Havok,10,1,10,9,Win
1962,9,Launch Weekend,Florida Mutineers,Seattle Surge,Search and Destroy,Rammaza,5,Prestinni,9,2,4.5,7,Win
1982,10,Launch Weekend,Los Angeles Guerrillas,Minnesota Rokkr,Hardpoint,St. Petrograd,1,AquA,25,22,1.14,3,Win
1982,10,Launch Weekend,Los Angeles Guerrillas,Minnesota Rokkr,Hardpoint,St. Petrograd,1,ACHES,20,29,0.69,-9,Win
1982,10,Launch Weekend,Los Angeles Guerrillas,Minnesota Rokkr,Hardpoint,St. Petrograd,1,Lacefield,29,22,1.32,7,Win
1982,10,Launch Weekend,Los Angeles Guerrillas,Minnesota Rokkr,Hardpoint,St. Petrograd,1,Decemate,16,26,0.62,-10,Win
1982,10,Launch Weekend,Los Angeles Guerrillas,Minnesota Rokkr,Hardpoint,St. Petrograd,1,Saints,31,25,1.24,6,Win
1982,10,Launch Weekend,Minnesota Rokkr,Los Angeles Guerrillas,Hardpoint,St. Petrograd,1,Assault,32,23,1.39,9,Loss
1982,10,Launch Weekend,Minnesota Rokkr,Los Angeles Guerrillas,Hardpoint,St. Petrograd,1,SiLLY,24,26,0.92,-2,Loss
1982,10,Launch Weekend,Minnesota Rokkr,Los Angeles Guerrillas,Hardpoint,St. Petrograd,1,GodRx,26,28,0.93,-2,Loss
1982,10,Launch Weekend,Minnesota Rokkr,Los Angeles Guerrillas,Hardpoint,St. Petrograd,1,Alexx,19,19,1,0,Loss
1982,10,Launch Weekend,Minnesota Rokkr,Los Angeles Guerrillas,Hardpoint,St. Petrograd,1,Asim,23,25,0.92,-2,Loss
1982,11,Launch Weekend,Los Angeles Guerrillas,Minnesota Rokkr,Search and Destroy,Piccadilly,2,AquA,4,6,0.67,-2,Win
1982,11,Launch Weekend,Los Angeles Guerrillas,Minnesota Rokkr,Search and Destroy,Piccadilly,2,ACHES,5,6,0.83,-1,Win
1982,11,Launch Weekend,Los Angeles Guerrillas,Minnesota Rokkr,Search and Destroy,Piccadilly,2,Lacefield,8,6,1.33,2,Win
1982,11,Launch Weekend,Los Angeles Guerrillas,Minnesota Rokkr,Search and Destroy,Piccadilly,2,Decemate,9,4,2.25,5,Win
1982,11,Launch Weekend,Los Angeles Guerrillas,Minnesota Rokkr,Search and Destroy,Piccadilly,2,Saints,8,7,1.14,1,Win
1982,11,Launch Weekend,Minnesota Rokkr,Los Angeles Guerrillas,Search and Destroy,Piccadilly,2,Assault,10,6,1.67,4,Loss
1982,11,Launch Weekend,Minnesota Rokkr,Los Angeles Guerrillas,Search and Destroy,Piccadilly,2,SiLLY,4,8,0.5,-4,Loss
1982,11,Launch Weekend,Minnesota Rokkr,Los Angeles Guerrillas,Search and Destroy,Piccadilly,2,GodRx,10,6,1.67,4,Loss
1982,11,Launch Weekend,Minnesota Rokkr,Los Angeles Guerrillas,Search and Destroy,Piccadilly,2,Alexx,2,7,0.29,-5,Loss
1982,11,Launch Weekend,Minnesota Rokkr,Los Angeles Guerrillas,Search and Destroy,Piccadilly,2,Asim,3,7,0.43,-4,Loss
1982,12,Launch Weekend,Los Angeles Guerrillas,Minnesota Rokkr,Domination,Hackney Yard,3,AquA,27,27,1,0,Loss
1982,12,Launch Weekend,Los Angeles Guerrillas,Minnesota Rokkr,Domination,Hackney Yard,3,ACHES,20,35,0.57,-15,Loss
1982,12,Launch Weekend,Los Angeles Guerrillas,Minnesota Rokkr,Domination,Hackney Yard,3,Lacefield,27,25,1.08,2,Loss
1982,12,Launch Weekend,Los Angeles Guerrillas,Minnesota Rokkr,Domination,Hackney Yard,3,Decemate,32,25,1.28,7,Loss
